season,week,game_id,home_team,away_team,home_score,away_score,roof,surface,temp,wind,home_total_yards,home_turnovers,home_touchdowns,home_epa_per_play,home_scoring_efficiency,home_completion_pct,away_total_yards,away_turnovers,away_touchdowns,away_epa_per_play,away_scoring_efficiency,away_completion_pct
2007,1,2007_01_NO_IND,IND,NO,41,10,dome,fieldturf,,,452.0,1.0,5.0,0.055439,8.4746,0.6,293.0,3.0,1.0,-0.3012,1.4706,0.6667
2007,1,2007_01_DEN_BUF,BUF,DEN,14,15,outdoors,astroplay,70.0,5.0,184.0,1.0,1.0,-0.074323,2.0408,0.6087,470.0,1.0,2.0,-0.017057,2.7397,0.561
2007,1,2007_01_PIT_CLE,CLE,PIT,7,34,outdoors,grass,71.0,5.0,221.0,5.0,1.0,-0.331376,1.6667,0.3864,365.0,1.0,4.0,0.076911,6.0606,0.5
2007,1,2007_01_PHI_GB,GB,PHI,16,13,outdoors,grass,62.0,9.0,215.0,4.0,1.0,-0.081805,1.5873,0.5,283.0,1.0,1.0,-0.086375,1.5873,0.4412
2007,1,2007_01_KC_HOU,HOU,KC,20,3,closed,grass,,,315.0,3.0,1.0,0.0113,1.8182,0.6667,219.0,3.0,1.0,-0.241124,1.8868,0.6111
2007,1,2007_01_TEN_JAX,JAX,TEN,10,13,outdoors,grass,86.0,0.0,272.0,1.0,1.0,-0.018418,2.0,0.5312,350.0,1.0,1.0,0.042868,1.4493,0.55
2007,1,2007_01_ATL_MIN,MIN,ATL,24,3,dome,fieldturf,,,302.0,1.0,1.0,-0.024628,2.0,0.5652,265.0,2.0,2.0,-0.269564,3.0303,0.6053
2007,1,2007_01_NE_NYJ,NYJ,NE,14,38,outdoors,fieldturf,84.0,10.0,227.0,0.0,2.0,0.033126,3.6364,0.5833,431.0,0.0,5.0,0.393477,7.6923,0.7857
2007,1,2007_01_CAR_STL,STL,CAR,13,27,dome,fieldturf,,,,,,,,,387.0,2.0,3.0,0.085356,4.6154,0.6667
2007,1,2007_01_MIA_WAS,WAS,MIA,16,13,outdoors,grass,82.0,7.0,400.0,2.0,1.0,-0.044002,1.5625,0.5217,273.0,1.0,1.0,-0.058084,1.6667,0.6
2007,1,2007_01_DET_OAK,OAK,DET,21,36,outdoors,grass,66.0,8.0,,,,,,,392.0,2.0,4.0,0.13348,6.6667,0.6923
2007,1,2007_01_CHI_SD,SD,CHI,14,3,outdoors,grass,73.0,8.0,,,,,,,202.0,3.0,0.0,-0.300083,0.0,0.4615
2007,1,2007_01_TB_SEA,SEA,TB,20,6,outdoors,fieldturf,67.0,12.0,343.0,1.0,2.0,0.033533,3.3333,0.6538,284.0,2.0,0.0,-0.147721,0.0,0.5556
2007,1,2007_01_NYG_DAL,DAL,NYG,45,35,outdoors,fieldturf,78.0,0.0,478.0,2.0,6.0,0.297959,10.9091,0.6,438.0,1.0,4.0,0.168777,5.8824,0.6304
2007,1,2007_01_BAL_CIN,CIN,BAL,27,20,outdoors,fieldturf,82.0,5.0,238.0,2.0,3.0,-0.255945,5.2632,0.6061,314.0,6.0,2.0,-0.278373,2.9851,0.5238
2007,1,2007_01_ARI_SF,SF,ARI,20,17,outdoors,grass,64.0,18.0,194.0,1.0,2.0,-0.068489,3.5714,0.4412,261.0,2.0,2.0,-0.068361,2.9851,0.4828
2007,2,2007_02_HOU_CAR,CAR,HOU,21,34,outdoors,grass,74.0,10.0,344.0,3.0,4.0,-0.157884,6.4516,0.6136,346.0,1.0,3.0,0.045396,4.6875,0.7143
2007,2,2007_02_CIN_CLE,CLE,CIN,51,45,outdoors,grass,59.0,6.0,554.0,1.0,6.0,0.350022,9.5238,0.6061,531.0,3.0,6.0,0.256418,7.7922,0.6471
2007,2,2007_02_ATL_JAX,JAX,ATL,13,7,outdoors,grass,88.0,9.0,364.0,0.0,1.0,0.010121,1.5873,0.5862,248.0,0.0,1.0,-0.073191,1.9231,0.4444
2007,2,2007_02_GB_NYG,NYG,GB,13,35,outdoors,fieldturf,64.0,7.0,325.0,2.0,1.0,-0.053235,1.7241,0.4762,368.0,1.0,5.0,0.244031,7.3529,0.7436
2007,2,2007_02_BUF_PIT,PIT,BUF,26,3,outdoors,dessograss,59.0,4.0,420.0,1.0,2.0,0.193188,2.9412,0.6,223.0,0.0,0.0,-0.122945,0.0,0.5172
2007,2,2007_02_SF_STL,STL,SF,16,17,dome,fieldturf,,,,,,,,,186.0,2.0,2.0,-0.057356,4.0816,0.5238
2007,2,2007_02_NO_TB,TB,NO,31,14,outdoors,grass,88.0,7.0,330.0,0.0,4.0,0.188028,8.3333,0.625,343.0,2.0,2.0,-0.056681,2.7778,0.5652
2007,2,2007_02_IND_TEN,TEN,IND,20,22,outdoors,grass,67.0,6.0,313.0,2.0,2.0,0.015144,3.125,0.5667,381.0,1.0,2.0,0.069755,3.0303,0.6364
2007,2,2007_02_SEA_ARI,ARI,SEA,23,20,closed,grass,,,431.0,1.0,2.0,0.034239,3.1746,0.6216,370.0,1.0,2.0,0.029911,3.2787,0.5946
2007,2,2007_02_MIN_DET,DET,MIN,20,17,dome,fieldturf,,,415.0,5.0,3.0,-0.113102,3.7037,0.5833,313.0,5.0,1.0,-0.136329,1.3889,0.5128
2007,2,2007_02_DAL_MIA,MIA,DAL,20,37,outdoors,grass,89.0,9.0,334.0,5.0,2.0,-0.133457,3.1746,0.5476,352.0,0.0,4.0,0.110851,6.0606,0.4667
2007,2,2007_02_NYJ_BAL,BAL,NYJ,20,13,outdoors,sportturf,69.0,3.0,303.0,0.0,2.0,0.014661,2.8986,0.6571,304.0,2.0,1.0,-0.039263,1.4706,0.4634
2007,2,2007_02_KC_CHI,CHI,KC,20,10,outdoors,grass,70.0,11.0,239.0,3.0,1.0,-0.189755,1.5152,0.5405,281.0,2.0,2.0,-0.31289,3.3333,0.6389
2007,2,2007_02_OAK_DEN,DEN,OAK,23,20,outdoors,grass,87.0,0.0,441.0,2.0,3.0,-0.036592,4.1096,0.6571,,,,,,
2007,2,2007_02_SD_NE,NE,SD,38,14,outdoors,fieldturf,55.0,5.0,407.0,2.0,4.0,0.151239,6.1538,0.7576,,,,,,
2007,2,2007_02_WAS_PHI,PHI,WAS,12,20,outdoors,grass,62.0,6.0,340.0,0.0,0.0,-0.009454,0.0,0.5714,337.0,1.0,2.0,0.106702,3.1746,0.5333
